n,k,requested,mapping,resolved,timing,timing_boundary,execution_schedule,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old,latency_ratio_vs_auto
4096,14336,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,3,93585408,93659136,30,1189,84.15251731872559,58.45561560910724,56.94579821459078,59.05985467267498,534.9163407857155,2.0090544043762164,True,2.456227754525413,1.0233711024261394
8192,3072,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,58.700500056147575,56.71199969947338,68.64499971270561,228.52275512421534,0.8574313328141551,True,1.0,1.3114352772802989
8192,3072,auto,auto,split4,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,44.76050101220608,43.51999834179878,56.4201008528471,299.6928027311832,1.1244656976979477,True,1.3114352772802989,1.0
8192,3072,selected,split4,split4,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1,,45.12050002813339,43.20089966058731,55.83300031721592,297.30166978725623,1.1154940208689479,True,1.3009718425005667,1.0080427834315158
8192,3072,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,1896,52.754178047180176,33.66112507848297,33.575981880542095,33.724168383119476,398.5131206614012,1.4952455654007015,True,1.0,1.2146861349327078
8192,3072,auto,auto,split4,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,2553,39.1808295249939,27.71178834633504,27.656360929543673,27.859858667154754,484.0683622561693,1.8162540566118497,True,1.2146861349327078,1.0
8192,3072,selected,split4,split4,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",cyclic_latin_by_sample_round,rotating,6,80216064,80261120,30,2527,39.587740898132324,27.720689490514168,27.648673380227915,27.887633745973176,483.91292736749267,1.8156708554173282,True,1.2142960978658766,1.0003212042495375
12288,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,97.5009985268116,94.67699751257896,112.87309750914574,274.9123024891808,1.0324334880767279,True,1.0,1.506016245098908
12288,4096,auto,auto,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,64.74100053310394,62.35689893364906,77.89699882268906,414.0223935262512,1.554861605027682,True,1.506016245098908,1.0
12288,4096,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,cyclic_latin_by_sample_round,rotating,3,80216064,80281600,30,1,,63.78049775958061,61.51690110564232,75.48099979758263,420.2573661472198,1.5782770523279452,True,1.5286961054198696,0.9851639182957607
