n,k,requested,mapping,resolved,timing,timing_boundary,cache,rotations,packed_ring_bytes,total_ring_bytes,samples,iterations_per_sample,calibration_us,median_us,p10_us,p90_us,effective_gbps,effective_tflops,correct,speedup_vs_old
4096,14336,auto,auto,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1203,83.1556510925293,58.371447961922996,58.267613995204044,82.67014932354985,535.6876536692628,2.0119513238151825,True,2.513972546421389
4096,14336,selected,split8,split8,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,93585408,93659136,30,1,,89.22100067138672,87.09300234913826,117.06299930810928,350.4652914078777,1.3162877698777404,True,2.6780970251456364
4096,14336,selected,split8,split8,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,3,93585408,93659136,30,1181,84.69367027282715,58.37420625872374,58.191877941677475,82.69075269319565,535.6623413672031,2.0118562551323613,True,2.5138537562420207
8192,3072,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,57.15999938547611,55.080898851156235,68.54089871048927,234.68159804439202,0.8805396875632028,True,1.0
8192,3072,old,old,old,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,1868,53.55335235595703,33.46258363580806,33.206987074662074,52.01026581594724,400.8775934935685,1.5041172118622808,True,1.0
8192,3072,auto,auto,split4,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,43.74000057578087,43.04089844226837,55.31089827418329,306.68495252438663,1.1507006707235612,True,1.3068129545733473
8192,3072,auto,auto,split4,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,2515,39.767611026763916,27.729005605041625,27.61171830103364,38.174588940963595,483.7677986390188,1.815126323565271,True,1.2067718587688543
8192,3072,selected,split4,split4,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,6,80216064,80261120,30,1,,44.18049938976765,42.58889891207218,62.99999803304672,303.62717002485533,1.139227684050511,True,1.2937834604629788
8192,3072,selected,split4,split4,batched,"HIP events around repeated Python/AITER entry calls, divided by iterations; first event/submission gap is amortized, but host queue starvation is not excluded",rotating,6,80216064,80261120,30,2506,39.915618896484375,27.623979548692514,27.561274510997826,29.59619203949584,485.60707831232537,1.82202741322194,True,1.2113599916631814
12288,4096,old,old,old,integration,single HIP-event interval around one Python/AITER entry call; includes a possible device idle gap before host launch submission,rotating,3,80216064,80281600,30,1,,98.46100211143494,97.5929968059063,112.00899779796603,272.23188293029824,1.0223671691465477,True,1.0
